,Gene,logFC,P.Value,t,adj.P.Val,Significant
5425,GNG3,-1.4327735822126613,5.784580286342939e-09,-6.383457664873591,1.8104325423012827e-07,True
5014,SERPINF1,-1.0837904512808443,5.816190759319004e-09,-6.382276135331718,1.8167809109927325e-07,True
6622,NPTX2,-1.4399879633717543,5.832022927323565e-09,-6.381686745061702,1.8199542364643967e-07,True
14405,MYBPH,1.3680120567224012,5.919062420019283e-09,6.378474447444761,1.84352934402154e-07,True
15425,LOC375295,-1.6164001117532472,6.094161272239151e-09,-6.3721511426803685,1.889391413165173e-07,True
11061,NRSN1,-1.453696910150975,6.207167475221705e-09,-6.368164729670483,1.9109974338302523e-07,True
14740,SST,-2.338674859920455,6.445286488234028e-09,-6.359994309857237,1.9654447770204145e-07,True
2580,BEX5,-1.569924668686685,6.7311299095444666e-09,-6.350571153456296,2.0409702031964694e-07,True
15461,PPP1R14C,-1.5600937997613613,6.929828603932556e-09,-6.344250781002653,2.0893693760728982e-07,True
8234,HSPB3,-1.7560231427938318,7.03114588898577e-09,-6.341096540086833,2.1109360663047542e-07,True
11092,IL3RA,1.0729467698051955,7.169832295757267e-09,6.336850894364822,2.1433374733234394e-07,True
9117,LILRB3,1.3994239630194807,7.208041238038176e-09,6.335695434047132,2.1490145252440956e-07,True
7952,XLOC_011480,-1.1677802951639622,7.3073094332152116e-09,-6.332721535774005,2.1685336412353744e-07,True
15665,GPLD1,-1.2196928341201314,7.642118334218486e-09,-6.322977347705552,2.255374021727038e-07,True
14995,LOC401442,-1.6218584065113637,7.897459218191743e-09,-6.315825154687673,2.3010943843741249e-07,True
3328,C1QB,1.1646886413295476,8.878997706175303e-09,6.29030711093434,2.540115935128297e-07,True
14613,FOXJ1,1.297277588542208,9.106057809011684e-09,6.284801541557049,2.5897370080948125e-07,True
11186,XLOC_l2_015752,-1.217429974194804,9.791821292413882e-09,-6.268960505665351,2.750627207185966e-07,True
19774,SPINK2,-1.2094471940405849,9.929142150326868e-09,-6.265920342732671,2.777043419202144e-07,True
19108,XLOC_011305,-1.2360335520892844,1.0100626259147401e-08,-6.262181561453641,2.810304339925834e-07,True
6907,AEBP1,1.164192687420453,1.0605546619167365e-08,6.251526098189406,2.927934040816601e-07,True
11613,FAM65C,1.3087344357435065,1.0653947990969183e-08,6.250531095613728,2.9362427109131564e-07,True
18411,LOC285954,-1.053976864457793,1.0795076488729457e-08,-6.247655128255736,2.9700347663674186e-07,True
18702,LOC100506379,-1.307940097417208,1.1076645425651652e-08,-6.242026400732395,3.031900898079394e-07,True
19176,ABCC12,-1.289969590451299,1.2020947428894074e-08,-6.224129109777631,3.257026972288192e-07,True
13225,LOC100506274,-1.3389933720584413,1.2094033698555448e-08,-6.222802293377062,3.268547607832003e-07,True
5676,EMP1,1.1803055285665565,1.2950521747557824e-08,6.207817199585792,3.4553012423989426e-07,True
2489,XLOC_l2_003705,-1.430937638285716,1.359439890789094e-08,-6.197182182604921,3.5982534403064466e-07,True
9481,DLGAP2,-1.3753695968263004,1.4224209246225757e-08,-6.187249604981154,3.743335788506335e-07,True
8978,GAD2,-2.275179583224026,1.4804313350662442e-08,-6.178477379817417,3.8737550757687695e-07,True
786,CRYM,-2.0325885178100673,1.542045777188185e-08,-6.169523819844077,4.005573160501779e-07,True
17228,MEIS3,-1.0528281441558427,1.6037994718995658e-08,-6.160897181959141,4.149184440204683e-07,True
16474,SYT16,-1.3938088718961037,1.6057236034125884e-08,-6.16063368338495,4.150814923245434e-07,True
6559,PEX6,1.2214264624594122,1.6371414894140345e-08,6.15637467272514,4.215048072263421e-07,True
2829,HSPA1B,1.1376318293993517,1.772073571506975e-08,6.138955070031721,4.469191837574195e-07,True
14739,LOC339529,-1.0011155128636373,1.7873730208443484e-08,-6.137063084488303,4.5007006678717973e-07,True
17346,XLOC_004907,-1.2124787768003236,1.78936230798419e-08,-6.13681825560903,4.502175909030025e-07,True
11024,C3orf80,-1.5730561730762984,1.814303060433596e-08,-6.133771270174812,4.543547398806382e-07,True
20283,LOC100506459,1.001814699831168,1.9106096382895705e-08,6.122380868600952,4.7366582068260756e-07,True
12981,FLJ32063,-1.7730526373425315,1.9884535413422213e-08,-6.113580298551491,4.891839693731476e-07,True
6531,LOC389023,-1.1546662207061686,1.9957328577833284e-08,-6.112774777524445,4.902228949287073e-07,True
20053,KDM4D,-1.2650994446607156,2.114406496475319e-08,-6.100035721398561,5.142544382632921e-07,True
11539,TNFRSF12A,1.0982460305600634,2.154078471504754e-08,6.095933845925288,5.223192544661566e-07,True
9383,REP15,1.8947582392970785,2.197340644896807e-08,6.091544765193559,5.316039810579908e-07,True
19550,LOC100506128,-1.3848954991996747,2.2397088170134707e-08,-6.08732814654496,5.390086935468278e-07,True
17509,XLOC_l2_000696,-1.2913937947987009,2.2927857125824593e-08,-6.082155305535601,5.480817113237354e-07,True
10931,CCKBR,-1.3673049933944812,2.3339000262324686e-08,-6.078228792933426,5.566655229854096e-07,True
18121,LOC646241,-1.1767891101753243,2.506099191062162e-08,-6.06249161823432,5.915795588614728e-07,True
9445,CYP4X1,-1.118979438206165,2.7270239652039576e-08,-6.043793339823289,6.35777098864411e-07,True
14930,ARMC3,1.205167531363636,2.8064742094893267e-08,6.0374319344294545,6.519311559769558e-07,True
19987,HTR3B,-1.1040688614009735,2.835766819477664e-08,-6.035131203921159,6.577830771427582e-07,True
16024,KRT83,1.02809656551461,3.119353276477477e-08,6.013995053997864,7.117667172744586e-07,True
4124,TAAR5,-1.3667159324788969,3.263054057206407e-08,-6.003997044676672,7.397793226514597e-07,True
6135,PNMA6C,-1.0765474236379866,3.310405255520009e-08,-6.000797358426609,7.478718351907176e-07,True
7599,MIR7-3HG,-1.2176695361120107,3.319317734478496e-08,-6.000200153776885,7.493575856584809e-07,True
9393,MYT1L,-1.7452609356834436,3.375780010522383e-08,-5.996453041474665,7.588999491069239e-07,True
14779,LOC100506995,1.12411155603409,3.4513584326810524e-08,5.991532736635756,7.726137172716646e-07,True
7810,NRIP3,-1.3522058891834439,3.622196157770953e-08,-5.980790823251078,8.041526141265895e-07,True
3272,AIF1L,-1.1286469761314937,3.6972332308952477e-08,-5.976229443291684,8.182680062710363e-07,True
2854,XLOC_001961,1.0338650798262972,3.6985305769732004e-08,5.976151383846552,8.182680062710363e-07,True
6957,BSCL2,-1.046465782670456,3.8956155260213916e-08,-5.9645955495254706,8.542128918302546e-07,True
11012,SIDT1,-1.2913035545308444,4.0982883018744385e-08,-5.95329740803427,8.913429744008948e-07,True
17352,Q958C4,-1.1462482121639619,4.128505801407976e-08,-5.9516601954532975,8.970912948364171e-07,True
19753,XLOC_009243,-1.0730749834837665,4.1692201881781536e-08,-5.949472805932309,9.043176716481079e-07,True
15176,OLFM4,-1.4054634436103877,4.2921884315403426e-08,-5.942991720455681,9.245138274508714e-07,True
16408,SYT5,-1.288270476857142,4.2940324279981245e-08,-5.942895929174929,9.245138274508714e-07,True
5461,RBP4,-1.0685782001428556,4.393634671404219e-08,-5.937781076408709,9.42611220999101e-07,True
21647,CDNF,-1.0515094224886359,4.407805391495563e-08,-5.93706265941332,9.43941234707461e-07,True
18042,LOC100507452,-1.2613438818165577,4.460267707048572e-08,-5.9344226036061425,9.519985897679188e-07,True
14093,LOC286002,-1.5164932367564932,4.633778190457279e-08,-5.925903702370689,9.831997463266647e-07,True
10337,NPTXR,-1.0995445337337655,4.880468081668389e-08,-5.914317306301419,1.0246427752612692e-06,True
12953,SNORA46,1.286928184987012,4.973230655475856e-08,5.9101090110177035,1.0386799441905303e-06,True
5945,ENC1,-1.4289589872077944,4.986481095662297e-08,-5.909514200570425,1.0407237972065762e-06,True
4123,ATL1,-1.0496350384042206,5.2655555274768295e-08,-5.897335197008126,1.0847893740951607e-06,True
21380,CACNG1,-1.122560231686689,5.2957424840776694e-08,-5.896056084664999,1.0880912089295042e-06,True
18431,ZWILCH,-1.1790109332613632,5.388609371797137e-08,-5.8921655405614795,1.1038734907231939e-06,True
11087,KCNB2,-1.1820418456103878,5.556335686269001e-08,-5.885303116406015,1.1324475782433898e-06,True
20490,XLOC_003658,-1.1369421666639612,5.6313700351399785e-08,-5.8822988589397465,1.1433819666284209e-06,True
19956,XLOC_004398,-1.1423438131883121,5.6810095663115047e-08,-5.880332935661037,1.1519010786370541e-06,True
10069,TLR2,1.0843297767207778,5.760815239092346e-08,5.8772074599935715,1.162307879686053e-06,True
15197,ST7-AS1,-1.1049300655600645,5.769789880115839e-08,-5.876858648582447,1.1633869224017356e-06,True
10778,XLOC_004512,1.0229348246639587,5.9534643976637345e-08,5.869834741476359,1.1944161218077087e-06,True
671,WASF1,-1.1595499344642874,5.989449251111174e-08,-5.868483645454932,1.2008845748477904e-06,True
4832,XLOC_002487,-1.536192822561686,6.074248026545721e-08,-5.865331085361682,1.214092689667207e-06,True
2991,NAP1L5,-1.1489833685795467,6.107368507237013e-08,-5.86411150778082,1.2176779472477524e-06,True
12241,DLX1,-1.6629110787126633,6.103944839888152e-08,-5.864237273787421,1.2176779472477524e-06,True
9459,UBE2N,-1.0229150901038944,6.243893274891894e-08,-5.8591520644072945,1.2418108881496091e-06,True
15617,XLOC_005067,-1.6895933692467535,6.369283667193217e-08,-5.854690166884489,1.2607281384126635e-06,True
