Gene,logFC,P.Value,t,adj.P.Val,Significant
CNTROB,-0.18985766109253266,0.014084960888439257,-2.499860480830926,0.03762557625956627,False
LCK,0.38309570787662306,0.01408932638414819,2.499743511599817,0.03763410411352822,False
EML4,0.12296972531168748,0.014095698956949976,2.499572822970161,0.03764799121962827,False
LOC100506859,0.4032978977759738,0.014098256957555625,2.4995043266655657,0.03765168857795408,False
XLOC_l2_012836,0.27128570122889606,0.014107315858913531,2.4992618434201237,0.037672745588441366,False
FLJ31958,0.2423170085016242,0.014115333318519484,2.4990473532150617,0.03769101821692235,False
NSUN5,-0.11076274186688195,0.014124663972791848,-2.498797868657743,0.0377127940280618,False
GINS3,0.1995054604025981,0.014140043631682404,2.498386966932069,0.03775071568778059,False
XLOC_011946,0.5258646636347397,0.014141513746037615,2.4983477105339627,0.03775149879111981,False
LOC285401,-0.76519866524026,0.01416121843188297,-2.497821889820191,0.037800955840805936,False
C3orf18,-0.11695474988636434,0.014168707134048972,-2.4976222252437106,0.037817798890114905,False
GOLGA6L1,0.4518203187370129,0.014170196082663827,2.4975825380048717,0.03781862648351544,False
PRR14L,0.5446504010827926,0.014185550910781441,2.4971734799181813,0.037856457301211933,False
CDSN,-0.6981022421509735,0.014212933488143701,-2.496444981737271,0.037926377166831636,False
PDHA2,0.5056342816120134,0.014250341172478505,2.495451800539879,0.03802303458480499,False
LOC285103,0.5540222834935071,0.01426505443971351,2.4950618002829463,0.0380591272809389,False
XLOC_011382,0.47080258864772695,0.014283447356861184,2.494574771046345,0.03810503045389661,False
XLOC_002616,0.27196077349837555,0.014287089062621923,2.494478408315339,0.038111576345327726,False
XLOC_006637,0.5192995003262983,0.014293738633141746,2.4943025115888666,0.03812495325969323,False
Q8WNA4,-0.3410871473620123,0.014294480604974754,-2.4942828892402447,0.03812495325969323,False
ETV3,0.31716015244480555,0.014296907031043747,2.494218725817245,0.03812825484710977,False
BCORP1,0.2887629395227256,0.014305231176212178,2.4939986796112343,0.03814728313656581,False
CDC37,-0.23296832019643077,0.014318693696721384,-2.4936430446397244,0.03818000945813498,False
PDZD2,-0.20913919394480374,0.014327780088513114,-2.4934031816539077,0.03819788791153501,False
XLOC_009815,-0.6066701200779216,0.014327444052609722,-2.493412049918711,0.03819788791153501,False
C14orf41,0.3256790516574677,0.01433110802085648,2.493315364828961,0.03820185213266415,False
TCHP,0.20549402963149443,0.014331648703759758,2.493301099119421,0.03820185213266415,False
SHISA6,-0.2642335324561689,0.014335675732459769,-2.4931948626844145,0.038209411556772134,False
XLOC_012348,0.5099065014610398,0.014359381416140161,2.49257002782904,0.03826941562098333,False
TTTY3,-0.6420142458944804,0.014367961655920912,-2.4923440973855775,0.03828910200381649,False
FOXB1,-0.267770186584416,0.014395806014671447,-2.491611745438775,0.03836011769670737,False
MGC15885,0.5840869715178574,0.01440145148537295,2.4914634150542656,0.03837197372514653,False
TFB2M,-0.22157983679545445,0.014414676830259203,-2.4911161330874374,0.0384040223166444,False
SNORD43,0.38606158913798794,0.014417093547506917,2.4910527037753383,0.03840727130078242,False
CDKN1B,0.1348539940616842,0.014423652560356295,2.4908806034858753,0.03842155394305654,False
FIGNL2,-0.3813891764756523,0.014431693975003919,-2.490669702426622,0.03843978268998055,False
PPPDE2,-0.12921154467532503,0.01444028011651376,-2.4904446310184674,0.03845945920612382,False
KRTAP17-1,0.5561505583555189,0.014444741732694924,2.4903277244836186,0.038468148330138896,False
MMP14,0.3698384146136364,0.01445138464392975,2.490153721951233,0.038479450479520776,False
XLOC_008874,0.5209061309886365,0.014450328544244983,2.490181380338348,0.038479450479520776,False
XLOC_011181,-0.3430567155000004,0.014454435377103527,-2.4900738359077748,0.0384800124540022,False
FAM134B,-0.4290425684935073,0.014456753813632019,-2.490013135770163,0.0384800124540022,False
