Gene,Importance
XLOC_011708,0.00041955469362832696
PICK1,0.0004180304335343096
ZNF521,0.00041720002778439317
XLOC_008604,0.0004169904169904171
LOC340515,0.00041666666666666664
GFRAL,0.000414872236577663
XLOC_005639,0.00041447368421052645
HCST,0.0004144355927038439
ALOX5AP,0.0004144355927038439
LOC100506365,0.0004144355927038439
SMAP2,0.0004144355927038439
XLOC_009537,0.0004138950480413895
VPS4B,0.00041204013377926416
EMILIN1,0.00041176470588235307
NFKBIL1,0.00041160041160041155
XLOC_007161,0.0004105915870621753
PWP2,0.0004105915870621753
NOVA1,0.0004105090311986864
FAM124A,0.0004105090311986864
VIPR2,0.00041036251562567345
FLJ33360,0.0004093567251461989
ABL2,0.00040905770635500373
ASCC1,0.00040829490557751436
TARBP1,0.00040772200772200783
RRP15,0.0004076804076804076
LOC100128107,0.0004070481489836328
LOC142937,0.0004066811909949165
ITFG2,0.0004066811909949165
ARID4A,0.0004063467492260062
XLOC_002032,0.0004056437389770724
METTL15,0.0004052936311000827
MAML1,0.0004052936311000827
DUS1L,0.0004051679586563308
ACADS,0.00040509259259259264
RARRES3,0.00040480194097841166
TULP2,0.00040470494417862833
CA6,0.0004045371902514759
RAD9A,0.0004044088095812233
WDFY4,0.0004038461538461541
XLOC_005868,0.00040369088811995383
HAUS6,0.0004034181240063593
CHCHD4,0.00040293040293040293
XLOC_003853,0.0004020598138245197
ZNF135,0.0004012086097872473
DTD1,0.00040032679738562097
ROGDI,0.0004003267973856209
LOC554223,0.00040029239766081894
CYP2W1,0.0004000000000000001
CASZ1,0.00039977943203749655
TARDBP,0.0003992963551787081
C14orf38,0.0003989703989703988
GDF15,0.0003988373819293089
WDR72,0.0003988373819293089
XLOC_012849,0.0003987822522305281
LOC100505565,0.00039868160843770594
XLOC_l2_010948,0.00039848197343453514
GNG7,0.000398034398034398
LOC644662,0.00039753086419753097
XLOC_005784,0.0003960792629768385
IAH1,0.00039522877352334706
OR14J1,0.00039502539242843975
XLOC_000264,0.0003944106378183458
TMEM191C,0.0003934044882320744
LOC100652967,0.00039335664335664317
PGAM4,0.00039202508960573467
XLOC_l2_007585,0.00039016289016289017
BET1,0.0003894217687074831
CLEC16A,0.0003876348989208087
ANPEP,0.0003874643874643873
XLOC_003690,0.00038714809000523273
C19orf68,0.0003841716922514619
DRD3,0.00038369920722861907
KCTD19,0.00038369920722861907
IGLL5,0.00038320016820857857
MRPS24,0.0003826664004639532
XLOC_011595,0.00038191324347454
CMAS,0.00038154392191659285
PUSL1,0.0003796875
XLOC_001043,0.00037941707848451034
DSG1,0.00037910118555279846
FUCA1,0.00037812214394821603
MID1IP1,0.00037784090909090916
XLOC_008971,0.0003770024349609125
LEPRE1,0.0003768610421836228
C6orf165,0.0003756330445634352
LOC399939,0.00037286931818181825
BAAT,0.0003727082345503399
XLOC_013057,0.0003714194218070186
NRN1,0.0003705707872374539
RBM25,0.0003705533596837943
WDR26,0.0003694512302833681
LOC646324,0.0003650668764752163
XLOC_009805,0.0003650075414781298
PSEN2,0.00036474164133738605
LOC643723,0.00036376815687160516
RBM3,0.0003636193129354486
LOC442132,0.0003631902827494673
PPP2R2C,0.00036096511903580463
PCDHGB4,0.00035902772219109365
CPB1,0.0003545751633986928
XLOC_004123,0.0003529668989936494
XPO1,0.0003516905766017244
PBX1,0.00034494073253763197
COMMD5,0.0003436988543371523
FAM183A,0.0003429562831608465
XLOC_001108,0.00034026948661095
NEUROD1,0.0003395183486680255
ARV1,0.00033651823808665337
TAL1,0.0003355119825708061
SOS1-IT1,0.0003352870738009706
S100A4,0.0003349219699093542
KRTAP19-4,0.00033461728395061725
ADORA3,0.0003329752953813105
CXXC1P1,0.00033222591362126237
GRIK2,0.00033123172514619865
PPP1R32,0.00033072159627054175
XLOC_001960,0.000330357142857143
FIGF,0.000330357142857143
LOC100506403,0.0003302578745821989
COX10,0.00032894736842105284
CAD,0.0003289473684210528
ODF2,0.00032848116279571277
DENND2D,0.00032779720279720276
GALNTL6,0.0003271672021672022
LCMT2,0.00032653061224489807
C10orf92,0.0003246753246753247
TMEM81,0.0003246376811594202
GLB1L,0.000324390243902439
EFHB,0.000324390243902439
SEMA4G,0.00032327965342342994
MTRNR2L1,0.000323076923076923
GPD2,0.0003230472312358168
LOC100506675,0.00032236842105263174
XLOC_005489,0.00032236842105263174
GP1BB,0.0003219754281910065
LOC100293704,0.0003212412587412587
FOPNL,0.0003211254683079746
TRIM24,0.0003208488744506895
KIR2DL2,0.000320662525879917
SNORD121B,0.00032047928822122383
XLOC_007963,0.00032019704433497534
XLOC_000933,0.0003201219512195122
XLOC_000916,0.0003200159014112503
XLOC_014351,0.0003192274160016095
TSPAN31,0.0003190536910930845
FLJ42709,0.0003185035389282101
LYRM4,0.00031791421362489493
XLOC_l2_012847,0.0003179142136248949
XLOC_009934,0.00031761786600496275
