Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Platelet activation,3/124,0.9266841747680992,0.9999957837905712,0,0,0.5161433716468145,0.0393004299058134,VASP;ADCY2;PIK3R5
KEGG_2021_Human,Pyrimidine metabolism,1/56,0.9274294262334202,0.9999957837905712,0,0,0.3789903415314149,0.0285525932967787,ENTPD3
KEGG_2021_Human,Prion disease,8/273,0.9350925525150044,0.9999957837905712,0,0,0.6271314923570328,0.0420866489232334,C1QB;GRIN2A;TUBB2A;TUBA3C;TUBB3;HSPA1B;C1QC;HSPA1A
KEGG_2021_Human,Notch signaling pathway,1/59,0.936956718989296,0.9999957837905712,0,0,0.3593307398874494,0.0233989669821871,HES5
KEGG_2021_Human,VEGF signaling pathway,1/59,0.936956718989296,0.9999957837905712,0,0,0.3593307398874494,0.0233989669821871,HSPB1
KEGG_2021_Human,Long-term depression,1/60,0.9398462274867436,0.9999957837905712,0,0,0.3532218241223754,0.0219135304704816,CRH
KEGG_2021_Human,Mineral absorption,1/60,0.9398462274867436,0.9999957837905712,0,0,0.3532218241223754,0.0219135304704816,STEAP2
KEGG_2021_Human,Basal cell carcinoma,1/63,0.947744860064892,0.9999957837905712,0,0,0.3360774476203936,0.0180372591051837,WNT10B
KEGG_2021_Human,Lysine degradation,1/63,0.947744860064892,0.9999957837905712,0,0,0.3360774476203936,0.0180372591051837,PRDM2
KEGG_2021_Human,cGMP-PKG signaling pathway,4/167,0.9502474394708064,0.9999957837905712,0,0,0.510294613362098,0.0260417964717516,VASP;ADRA1D;ADCY2;PIK3R5
KEGG_2021_Human,Cortisol synthesis and secretion,1/65,0.9524261717003252,0.9999957837905712,0,0,0.3255407995618839,0.0158677326513533,ADCY2
KEGG_2021_Human,Insulin signaling pathway,3/137,0.9528668281764854,0.9999957837905712,0,0,0.4657502826154627,0.0224864817127342,SOCS3;PRKAR1B;PCK1
KEGG_2021_Human,Acute myeloid leukemia,1/67,0.9566885025597424,0.9999957837905712,0,0,0.315642736234193,0.0139758504785491,KIT
KEGG_2021_Human,Fc epsilon RI signaling pathway,1/68,0.9586743913160388,0.9999957837905712,0,0,0.310915303003057,0.0131218045104066,FCER1A
KEGG_2021_Human,Retinol metabolism,1/68,0.9586743913160388,0.9999957837905712,0,0,0.310915303003057,0.0131218045104066,SDR16C5
KEGG_2021_Human,Glucagon signaling pathway,2/107,0.9593129243878976,0.9999957837905712,0,0,0.3964285714285714,0.0164668319708517,ADCY2;PCK1
KEGG_2021_Human,Apoptosis,3/142,0.9603776425283512,0.9999957837905712,0,0,0.4488782190493489,0.0181475602686061,TUBA3C;IL3RA;TNFRSF10B
KEGG_2021_Human,Insulin resistance,2/108,0.9608766773749308,0.9999957837905712,0,0,0.3926679907315458,0.0156710675903199,SOCS3;PCK1
KEGG_2021_Human,Human immunodeficiency virus 1 infection,5/212,0.96785618157735,0.9999957837905712,0,0,0.5016661086398495,0.0163903224745581,GNG3;GNG2;CCR5;PAK3;TLR2
KEGG_2021_Human,PPAR signaling pathway,1/74,0.968818646752472,0.9999957837905712,0,0,0.2852705967081276,0.0090367562225954,PCK1
KEGG_2021_Human,Gastric cancer,3/149,0.9690219906846372,0.9999957837905712,0,0,0.4271987729876847,0.0134430795154785,WNT10B;FGF9;MET
KEGG_2021_Human,Leukocyte transendothelial migration,2/114,0.969114459280717,0.9999957837905712,0,0,0.3715147243107769,0.0116553653914925,VASP;MYL5
