GeneSymbol,logFC,P.Value,adj.P.Val
C12orf64,-0.06017715443700225,1.7273539294994591e-06,2.9708562164494774e-06
DNAJC15,0.04079363252738237,1.736079542828145e-06,2.985555160132942e-06
DNASE2B,0.022353432570561334,1.7377868450138229e-06,2.9881828485512686e-06
KIAA1539,0.036741375688863764,1.7379697955108063e-06,2.988189091249698e-06
HMGA1,-0.03306975955102219,1.7392767599827548e-06,2.990127713644138e-06
ETNK1,-0.0730101215338042,1.7415586990812599e-06,2.9937419188663208e-06
LOC148766,0.0458654371400452,1.7517339006748107e-06,3.0109225085967035e-06
PSMA4,-0.03312641972713479,1.7608965132513616e-06,3.0263592715367873e-06
ZNF268,0.03591495831803965,1.7994635626210385e-06,3.0923234822643068e-06
RAB11B,-0.03768622797918225,1.806035920215739e-06,3.103297852595904e-06
PLA2G4A,0.053912828064740084,1.8083164944207696e-06,3.106896181361759e-06
ALG1,-0.051646057361317034,1.8086831176629403e-06,3.1072057188386845e-06
LOC646405,-0.06059037755882474,1.8269316794259115e-06,3.138232090089e-06
PTF1A,-0.03803256572176454,1.8511644029646704e-06,3.1795303660073455e-06
ATG12,-0.05475408225697552,1.8757079023883853e-06,3.221353858126358e-06
LOC286144,-0.039141738601495786,1.8881238193500193e-06,3.2421653421099664e-06
LAMC3,0.03672496751416274,1.888214993109531e-06,3.2421653421099664e-06
TTC21A,0.035604075650852676,1.8936811685475228e-06,3.2512160511720504e-06
LOC389458,0.03260999652872404,1.9167619371094196e-06,3.2905038549491473e-06
PCBP4,0.057128702688893994,1.918161124529709e-06,3.292566643918734e-06
NRSN2,0.062418414454489535,1.923783673300946e-06,3.301877755884948e-06
ZNF579,0.021973107030309025,1.945233222905821e-06,3.338348756591411e-06
FUSIP1,0.029484141133943917,1.9588881385137568e-06,3.361436715085289e-06
APOC4,0.024273831096055062,1.969253072275399e-06,3.3786358608633563e-06
OR4F5,0.03705457640700225,1.9693164976335683e-06,3.3786358608633563e-06
LRP5L,0.04272850386728991,1.9719444149177916e-06,3.382796142700235e-06
KIAA0256,-0.05555206915389356,1.984691113712233e-06,3.4043121686979567e-06
LOC729274,0.042194623828952116,2.0017811534754178e-06,3.4332730693201275e-06
AMZ1,-0.06160378993410726,2.0062934593042007e-06,3.4406580432072862e-06
FOXD4,-0.033763492350289914,2.0082054570439126e-06,3.4435826030232308e-06
POLE4,-0.027600247302720364,2.008503768048199e-06,3.443739766514579e-06
E2F6,0.016657709849947813,2.024106378038357e-06,3.4701346382336605e-06
ZCCHC10,-0.026473416174984592,2.0362437112088948e-06,3.4905838086189712e-06
NANOGP1,0.06161050191879802,2.044299049841715e-06,3.5040320270070296e-06
B3GNT3,-0.025909791833285387,2.0464226977756764e-06,3.5073113067709423e-06
SLC45A2,0.04191302958914937,2.0555884731990424e-06,3.522657992327113e-06
CD300LF,0.08558173181980482,2.056329410498699e-06,3.523565377537308e-06
RAB21,-0.04580894279615164,2.0619129770113914e-06,3.5327696739582385e-06
CEACAM21,0.026742591640780772,2.067475447577086e-06,3.541935936920383e-06
C8orf44,-0.02602950274286521,2.06781537785073e-06,3.542154138209762e-06
FAM13A1,-0.025339645516067395,2.0752814922350623e-06,3.5545781464287265e-06
IRAK1,0.04729665871252722,2.077926101908827e-06,3.558742092724429e-06
ZNF137,-0.028031843284758585,2.085868062555173e-06,3.571976713022239e-06
CINP,-0.02500847252448225,2.089359090885161e-06,3.5775873294811265e-06
DENND3,0.039469025705527,2.1073678905819164e-06,3.6080528643436823e-06
NUF2,-0.057739739907456344,2.1160940584627182e-06,3.6226208537315324e-06
PTENP1,0.04375555632410108,2.1265279779958287e-06,3.6401091140546983e-06
C2orf29,-0.050300098552510775,2.133954927159736e-06,3.6524470938978884e-06
PFKFB1,-0.018843738079457672,2.1498016161072493e-06,3.679192167075198e-06
RNF40,0.027934635646627824,2.151165777184584e-06,3.681148748306008e-06
ATP9B,0.024478038688200122,2.1538785025386316e-06,3.6854124002776214e-06
ITSN1,-0.02436054669312842,2.1608109850603833e-06,3.6968946873764096e-06
FNDC7,0.029116873644452437,2.1662655077396434e-06,3.705846260237493e-06
BAIAP2L1,0.06885238595766036,2.175739459347949e-06,3.7216713560433403e-06
LOC389199,0.024103493798465186,2.1767869616328773e-06,3.7230809738941054e-06
C15orf32,0.02652895874542018,2.1806639216626047e-06,3.7293291862259484e-06
SH3GLP2,0.015562280806593382,2.1963866572286985e-06,3.7558324531615224e-06
PWWP2A,0.06762334060439697,2.2124839658268754e-06,3.7829707373834447e-06
ZNF555,0.028587306692541607,2.21689004730812e-06,3.790115496905972e-06
H6PD,0.0359327721762934,2.221016632537941e-06,3.7967809976007643e-06
PDP2,0.028188878990293816,2.231168819112152e-06,3.81374471245101e-06
USP44,-0.05011944671140128,2.2369072445347782e-06,3.8231612638900045e-06
OR2J3,0.04628939404056297,2.2449966623169102e-06,3.8365936192030555e-06
FLJ35530,0.031566050736636535,2.264230216957811e-06,3.869066072127253e-06
SLC16A6,-0.04321301744702589,2.2651420763378762e-06,3.8702273721003145e-06
TMEM102,0.06662619204747483,2.268232572347542e-06,3.874713232762629e-06
TTC18,0.03990590804090096,2.268139642805436e-06,3.874713232762629e-06
DHRS1,0.02764229080734538,2.275028565887335e-06,3.885924151491036e-06
MAGEA5,0.035823406458074795,2.275611252964384e-06,3.886521053540893e-06
BCAN,0.04465667039099344,2.3020912065757635e-06,3.931343294361398e-06
ZNF167,-0.023662387353427163,2.311650995429385e-06,3.947264288127398e-06
KIAA0528,-0.030400322114881653,2.323909928276712e-06,3.96779047590196e-06
PTMAP7///PTMA,0.04078111105500473,2.3349897566245557e-06,3.986299488207314e-06
MRS2L,0.01793178219846723,2.33688032861668e-06,3.989118397466539e-06
PEX13,-0.04197098794256132,2.3437087387579935e-06,4.000364890163188e-06
HIST1H2BG,0.08630555165931991,2.345567291214803e-06,4.003127134453449e-06
LOC389834,0.061843957133903844,2.3650461983277584e-06,4.035957997842679e-06
VAC14,0.016170583898176907,2.372036664825337e-06,4.047472760869283e-06
MARCH10,-0.018768273446493733,2.3786757676601983e-06,4.058385685705902e-06
TLE4,0.03571315364746114,2.3857444451543443e-06,4.070029221340294e-06
HLA-G,0.0978321903869959,2.391190553276048e-06,4.078902587756379e-06
PCDHB5,0.049401229076457776,2.397033353414354e-06,4.088450747317993e-06
RPL27A,0.03149551780561882,2.4033705563041196e-06,4.098840134095983e-06
CDKL2,-0.050272879150236274,2.4671674370383695e-06,4.207212256529614e-06
PCDHB19P,-0.04405937655579617,2.4846195489714024e-06,4.236539462197836e-06
LAMC2,-0.018549717482049106,2.4946312617003027e-06,4.253175296191308e-06
STK17A,0.024824282133181632,2.4957720494337097e-06,4.254684954656096e-06
KIAA1543,-0.031209255068945965,2.4987209821122225e-06,4.259276436775581e-06
DBF4,-0.04180393611464557,2.5073513037186668e-06,4.273550386127428e-06
FTCD,0.036067325852188206,2.5078515517794777e-06,4.2739658681584396e-06
GOLGA3,0.02208761620537426,2.510651250116621e-06,4.27829966580871e-06
AMH,0.04502617993939183,2.5220731648846497e-06,4.297323846588732e-06
AGXT2L1,0.10936040945795562,2.5286684521683376e-06,4.3081209576662075e-06
TNFSF18,-0.02804114050067393,2.563636308211971e-06,4.3672495849564795e-06
TBC1D8B,0.05279532730565853,2.578154421955095e-06,4.391532790295381e-06
LOC283728,0.035466204359833574,2.585588292214289e-06,4.4037452270501746e-06
LYRM5,-0.034763488743907944,2.589725872148645e-06,4.410341536380688e-06
ACOT12,-0.029153056009843845,2.595338938913831e-06,4.4194490167647745e-06
RNF19B,-0.07449090821760838,2.6112355543233007e-06,4.446064092903186e-06
MSX2P1,0.02277800587904664,2.6166467978380573e-06,4.454822460070841e-06
CYB5A,0.028478690400186975,2.6279830363446924e-06,4.473665268939417e-06
AIM1,0.028363537946369328,2.638860220039813e-06,4.491722850535592e-06
NFE2L1,-0.032597922743634676,2.6436729751604015e-06,4.499455260757117e-06
MAGEB1,-0.07110415121428026,2.6506716867924005e-06,4.510906146722689e-06
C1orf27,0.04408125642139716,2.6766048710373414e-06,4.554574039718805e-06
CHD9,0.036943370155406614,2.6863994808371638e-06,4.570774040092965e-06
DSG2,0.06956752337814259,2.6984707959884948e-06,4.590844037197783e-06
PRR13,-0.04954689793726115,2.7045777536381707e-06,4.600763953310175e-06
KCNN1,-0.05340037362918944,2.732061173314499e-06,4.647041685425417e-06
GPR39,-0.03230019813586747,2.7435860268376806e-06,4.666168355911728e-06
FSHR,-0.022755817320314363,2.769045411998773e-06,4.708987931987708e-06
DGCR7,0.026005261970992403,2.7695204068893584e-06,4.709315108204517e-06
SEMA3C,0.0613211229165605,2.774472654288374e-06,4.7172545975983535e-06
CPLX1,-0.057923725331688915,2.7901058861787656e-06,4.743350794458575e-06
LOC130951,0.01685912446474254,2.791561337354612e-06,4.745341030875982e-06
GALNT17,-0.03368957480333675,2.7919500027306936e-06,4.745517630100396e-06
SLC38A3,0.03596248480898809,2.7938422250187376e-06,4.7482495499961495e-06
EFHB,-0.1198208439398459,2.827364130015901e-06,4.804731374932181e-06
B4GALNT3,0.029181318008641884,2.8290108020113832e-06,4.807039462090108e-06
OR8I2,-0.020660662631898502,2.863070521502083e-06,4.864417533677682e-06
PHC3,0.02968558982268091,2.8791090004769945e-06,4.891168557849795e-06
FAAH2,-0.027167021498563183,2.910639423643106e-06,4.9442299037297364e-06
ZNF536,-0.05037626911783645,2.911120608701838e-06,4.9445432497612305e-06
LOC283587,0.04345165075622355,2.912057187939089e-06,4.945629940870056e-06
SHOX,0.02438572317609923,2.9361491206929746e-06,4.986037801612935e-06
PROK1,-0.022324383815107863,2.9467519651890044e-06,5.0035331921652305e-06
ATF3,0.0859718768196804,2.9484152667414076e-06,5.0058473769718605e-06
ZNF571,0.024858389551391,2.9548202520654187e-06,5.016210745763869e-06
GPR141,-0.032195243137302244,2.9584010861259642e-06,5.021778109320879e-06
LOC645553,0.022646318141569775,2.962654537373867e-06,5.0284859656547285e-06
FAM139A,0.03370025154168274,2.9804958239395915e-06,5.0582526133139175e-06
LPAL2,-0.01847671847095942,3.010355337263623e-06,5.108407468448168e-06
MOSPD3,0.0523538710675529,3.029455414114596e-06,5.140295796844072e-06
