GeneSymbol,logFC,P.Value,adj.P.Val
MRC1,0.32531435319129237,6.301349581162403e-28,3.0374801683682468e-27
TMSB4Y,-0.5369015684113458,1.6802593012618287e-26,7.536969312577957e-26
PTGDS,0.3118312549425116,1.765646258077286e-26,7.909335818440831e-26
ADAMTS9,0.333143779947177,1.8907879966361e-26,8.458373476479065e-26
OGN,0.4953577541368913,7.840589684117462e-26,3.3813557581815057e-25
DEFB1,0.34678389134832543,2.839841779914605e-24,1.1383960409068313e-23
DSP,0.4066827508730019,1.396055177773225e-23,5.41649906458976e-23
HSPA1A,0.35056558469633453,8.352596174510022e-23,3.102712051984731e-22
FCGR1B,0.3028801070453667,1.5216386634598084e-21,5.338228776398789e-21
USP9Y,-0.4324038886326998,3.2827590339043823e-19,1.0405915263645164e-18
XIST,0.7429039441086911,3.739568591064522e-15,9.88988589136632e-15
CYorf15B,-0.42654298892687065,3.14859708374873e-14,7.976318303981277e-14
JARID1D,-0.5054913096568727,1.100591675896788e-13,2.732865398173756e-13
DDX3Y,-0.5049420780515512,9.353386059361748e-12,2.1325054767164342e-11
